key,id,name,js,fx,awt,gl,cat,doc
Function.F30,0x29001d,F30,F30,,,,Function,The F30 key
Function.F31,0x29001e,F31,F31,,,,Function,The F31 key
Function.F32,0x29001f,F32,F32,,,,Function,The F32 key
Function.F33,0x290020,F33,F33,,,,Function,The F33 key
Function.F34,0x290021,F34,F34,,,,Function,The F34 key
Function.F35,0x290022,F35,F35,,,,Function,The F35 key
Phone.APP_SWITCH,0x2a0000,APP_SWITCH,AppSwitch,,,,Phone,The App Switch key
Phone.CALL,0x2a0001,CALL,Call,,,,Phone,The Call key
Phone.CAMERA,0x2a0002,CAMERA,Camera,,,,Phone,The Camera key
Phone.CAMERA_FOCUS,0x2a0003,CAMERA_FOCUS,CameraFocus,,,,Phone,The Camera Focus key
Phone.END_CALL,0x2a0004,END_CALL,EndCall,,,,Phone,The End Call key
Phone.GO_BACK,0x2a0005,GO_BACK,GoBack,,,,Phone,The Go Back key
Phone.GO_HOME,0x2a0006,GO_HOME,GoHome,,,,Phone,The Go Home key
Phone.HEADSET_HOOK,0x2a0007,HEADSET_HOOK,HeadsetHook,,,,Phone,The Headset Hook key
Phone.LAST_NUMBER_REDIAL,0x2a0008,LAST_NUMBER_REDIAL,LastNumberRedial,,,,Phone,The Last Number Redial key
Phone.NOTIFICATION,0x2a0009,NOTIFICATION,Notification,,,,Phone,The Notification key
Phone.MANNER_MODE,0x2a000a,MANNER_MODE,MannerMode,,,,Phone,The Manner Mode key
Phone.VOICE_DIAL,0x2a000b,VOICE_DIAL,VoiceDial,,,,Phone,The Voice Dial key
Multimedia.CHANNEL_DOWN,0x2b0000,CHANNEL_DOWN,ChannelDown,CHANNEL_DOWN,,,Multimedia,The Channel Down key
Multimedia.CHANNEL_UP,0x2b0001,CHANNEL_UP,ChannelUp,CHANNEL_UP,,,Multimedia,The Channel Up key
Multimedia.MEDIA_FAST_FORWARD,0x2b0002,MEDIA_FAST_FORWARD,MediaFastForward,FAST_FWD,,,Multimedia,The Media Fast Forward key
Multimedia.MEDIA_PAUSE,0x2b0003,MEDIA_PAUSE,MediaPause,PAUSE,VK_PAUSE,,Multimedia,The Media Pause key
Multimedia.MEDIA_PLAY,0x2b0004,MEDIA_PLAY,MediaPlay,PLAY,,,Multimedia,The Media Play key
Multimedia.MEDIA_PLAY_PAUSE,0x2b0005,MEDIA_PLAY_PAUSE,MediaPlayPause,,,,Multimedia,The Media Play Pause key
Multimedia.MEDIA_RECORD,0x2b0006,MEDIA_RECORD,MediaRecord,RECORD,,,Multimedia,The Media Record key
Multimedia.MEDIA_REWIND,0x2b0007,MEDIA_REWIND,MediaRewind,REWIND,,,Multimedia,The Media Rewind key
Multimedia.MEDIA_STOP,0x2b0008,MEDIA_STOP,MediaStop,STOP,VK_STOP,,Multimedia,The Media Stop key
Multimedia.MEDIA_TRACK_NEXT,0x2b0009,MEDIA_TRACK_NEXT,MediaTrackNext,TRACK_NEXT,,,Multimedia,The Media Track Next key
Multimedia.MEDIA_TRACK_PREVIOUS,0x2b000a,MEDIA_TRACK_PREVIOUS,MediaTrackPrevious,TRACK_PREV,,,Multimedia,The Media Track Previous key
Audio.AUDIO_BALANCE_LEFT,0x2c0000,AUDIO_BALANCE_LEFT,AudioBalanceLeft,,,,Audio,The Audio Balance Left key
Audio.AUDIO_BALANCE_RIGHT,0x2c0001,AUDIO_BALANCE_RIGHT,AudioBalanceRight,,,,Audio,The Audio Balance Right key
Audio.AUDIO_BASS_DOWN,0x2c0002,AUDIO_BASS_DOWN,AudioBassDown,,,,Audio,The Audio Bass Down key
Audio.AUDIO_BASS_UP,0x2c0003,AUDIO_BASS_UP,AudioBassUp,,,,Audio,The Audio Bass Up key
Audio.AUDIO_BASS_BOOST_DOWN,0x2c0004,AUDIO_BASS_BOOST_DOWN,AudioBassBoostDown,,,,Audio,The Audio Bass Boost Down key
Audio.AUDIO_BASS_BOOST_UP,0x2c0005,AUDIO_BASS_BOOST_UP,AudioBassBoostUp,,,,Audio,The Audio Bass Boost Up key
Audio.AUDIO_BASS_BOOST_TOGGLE,0x2c0006,AUDIO_BASS_BOOST_TOGGLE,AudioBassBoostToggle,,,,Audio,The Audio Bass Boost Toggle key
Audio.AUDIO_FADER_FRONT,0x2c0007,AUDIO_FADER_FRONT,AudioFaderFront,,,,Audio,The Audio Fader Front key
Audio.AUDIO_FADER_REAR,0x2c0008,AUDIO_FADER_REAR,AudioFaderRear,,,,Audio,The Audio Fader Rear key
Audio.AUDIO_SURROUND_MODE_NEXT,0x2c0009,AUDIO_SURROUND_MODE_NEXT,AudioSurroundModeNext,,,,Audio,The Audio Surround Mode Next key
Audio.AUDIO_TREBLE_DOWN,0x2c000a,AUDIO_TREBLE_DOWN,AudioTrebleDown,,,,Audio,The Audio Treble Down key
Audio.AUDIO_TREBLE_UP,0x2c000b,AUDIO_TREBLE_UP,AudioTrebleUp,,,,Audio,The Audio Treble Up key
Audio.AUDIO_VOLUME_DOWN,0x2c000c,AUDIO_VOLUME_DOWN,AudioVolumeDown,VOLUME_DOWN,,,Audio,The Audio Volume Down key
Audio.AUDIO_VOLUME_UP,0x2c000d,AUDIO_VOLUME_UP,AudioVolumeUp,VOLUME_UP,,,Audio,The Audio Volume Up key
Audio.AUDIO_VOLUME_MUTE,0x2c000e,AUDIO_VOLUME_MUTE,AudioVolumeMute,MUTE,,,Audio,The Audio Volume Mute key
